Geneid	Length	genome_mapping/Low.6694c2.rep3.RNAseq.mm10.sorted.bam
Tceanc	4047	622
Armcx6	2034	13
Pramel20	2103	0
Fndc3c1	4812	8
Trp53rka	1868	1772
Defa39	500	0
Best3	2719	8
Gm11541	1681	0
Akirin2	1719	8644
Rtn1	3917	58
Rtp2	2428	0
Daam2	6045	136
Asap3	5618	270
Plekhn1	2210	1676
Bnip2	6138	15158
Aox2	4776	8
Cdh12	5639	0
Nol10	2986	2899
Scaf1	4177	13927
Ccdc177	4399	0
Cdsn	2757	326
Thoc6	1539	1947
Teddm1b	2527	0
Zfp975	3145	144
Fbxw20	1511	0
Taar3	1032	0
P2ry14	2571	118
Wdr34	1800	2435
Taar4	1044	0
Zfp760	4209	663
Bbs12	2434	1364
Zc3h14	4184	10941
Adora1	5819	1196
Mxi1	3813	16341
1700001J03Rik	778	0
Pde2a	4987	1814
Zfp658	3381	615
Zfyve26	9368	5434
Il4ra	5219	28813
Dab2	4628	7687
Bud31	974	4192
Calm5	549	0
Kbtbd8	4732	54
Whrn	4406	1825
Tmem232	2756	4
Adam6b	2271	0
Naaladl1	2689	69
Adam26b	2405	0
Adam20	2589	0
Zfp36l3	2613	0
Mup21	755	0
Unc13d	3967	3351
Taar5	1014	0
Armcx5	2824	576
Septin11	11141	21947
A3galt2	3390	134
Mief2	2522	1241
Brsk2	4667	6
Txnip	2801	13835
Il19	1124	4
Dock11	6665	2203
Nrsn2	1422	0
Slc25a51	4437	11817
Slc38a8	2622	0
Cep44	1399	1712
Scgb2b20	520	0
Pde1a	5579	160
Slc10a7	3644	3859
Ficd	3161	811
Kctd14	2557	113
Taar7b	1077	0
Taar6	1038	0
Taar7a	1077	0
Taar8a	1035	0
Taar9	1047	0
Mdc1	7352	5659
Slc10a5	3923	42
Taar7e	1077	0
Ppp1r13l	3130	5785
Taar8b	1035	0
Taar7d	1077	0
Taar7f	1077	0
Taar8c	1109	0
Mrps33	1052	1301
Gjb6	2198	0
Gpr12	2760	0
Hrh2	5937	42
Olfr1193	957	0
Olfr94	1161	0
Olfr1148	945	0
Olfr310	1082	0
Olfr913	1275	0
Olfr1418	957	0
Olfr1415	936	0
Olfr503	972	0
Olfr456	1052	1
Olfr1251	957	8
Olfr723	1006	0
Olfr329	1037	0
Olfr1037	1125	0
Olfr688	966	0
Olfr988	930	0
Olfr1182	1178	0
Olfr566	1066	0
Olfr1532-ps1	1148	0
Olfr180	1142	0
Nms	1001	0
Rnase13	614	0
Olfr1000	945	0
Cyp2c66	1630	0
Olfr102	1027	0
Xkr7	2711	0
Olfr288	2083	0
Olfr1116	924	0
Olfr1066	942	0
Olfr205	918	0
Olfr1357	1160	0
Olfr744	972	0
Olfr885	930	0
Olfr225	1260	0
Olfr1386	1128	0
Olfr479	984	0
Olfr324	1122	0
Olfr867	996	0
Olfr704	948	0
Olfr294	1008	0
Olfr298	999	0
Olfr293	1011	0
Olfr115	995	0
Olfr735	1065	0
Olfr671	942	0
Olfr948	966	0
Olfr663	1035	0
Olfr1016	930	0
Olfr1031	1011	0
Olfr314	1131	0
Olfr1229	936	0
Olfr299	993	0
Olfr317	1128	0
Olfr332	1601	0
Olfr1089	936	0
Olfr1287	918	0
Olfr1028	975	0
Olfr1419	1160	0
Olfr527	918	0
Olfr1042	1097	0
Olfr285	960	0
Olfr286	1451	0
Olfr287	1776	0
Olfr543	1130	18
Olfr1039	960	0
Olfr987	930	0
Olfr1307	939	0
Olfr1432	1044	0
Olfr222	957	0
Olfr1382	936	0
Olfr193	1009	0
Olfr207	918	0
Olfr598	960	0
Olfr1322	933	0
Olfr1275	939	0
Olfr1249	957	0
Olfr782	945	0
Olfr884	930	0
Olfr453	954	0
Olfr212	2672	0
Olfr213	984	0
Olfr1318	1110	0
Olfr1306	939	0
Olfr1211	936	0
Olfr1385	930	0
Olfr901	936	0
Olfr191	930	0
Olfr198	921	0
Olfr728	936	0
Olfr485	954	0
Olfr487	945	0
Olfr951	945	0
Olfr93	939	0
Olfr524	957	0
Olfr533	963	0
Olfr1181	936	0
Olfr316	921	0
Olfr312	927	0
Olfr1359	992	0
Olfr804	945	0
Olfr787	939	0
Olfr834	939	0
Olfr832	939	0
Olfr1105	939	0
Olfr967	933	0
Olfr963	936	0
Olfr304	1002	0
Olfr761	972	0
Olfr119	1116	0
Olfr1500	936	0
Olfr1490	951	0
Olfr1137	933	0
Olfr1152	933	0
Olfr1162	945	0
Olfr1129	945	0
Olfr748	924	0
Olfr1437	1036	0
Olfr1463	933	0
Olfr1465	924	0
Olfr1474	945	0
Olfr597	948	0
Olfr517	945	0
Olfr591	945	0
Olfr675	942	0
Olfr792	936	0
Olfr1505	951	0
Olfr412	939	0
Olfr1029	1061	0
Olfr1425	936	2
Olfr605	1011	0
Olfr169	942	0
Olfr1331	954	0
Olfr685	951	0
Olfr504	957	0
Olfr965	939	0
Olfr1222	936	0
Olfr331	975	0
Olfr699	951	0
Olfr406	972	0
Olfr917	930	0
Olfr624	927	0
Olfr309	927	0
Olfr538	933	0
Olfr1178	972	0
Olfr452	954	0
Olfr1329	942	0
Olfr506	945	0
Olfr1034	1023	2
Xkr9	1926	37
Xkr4	3634	2
Rnase12	545	0
